create EgoNets       a) assign IDs        b) find triangles    c) cluster EgoNet    d) compact EgoNet    e) EgoNet subsets    f) EgoNet subsetCnt  g) clean up          split Personas       connect Personas     Persona Clustering   create Cover         
0.070863             3e-06                0.0096               0.051481             0.001779             0.001775             0.001019             1e-06                6.9e-05              0.002186             0.007007             0.000487             
0.066551             1e-06                0.009182             0.047908             0.001713             0.001702             0.001017             0.0                  9e-05                0.002578             0.005383             0.000421             
0.069214             0.0                  0.009254             0.050258             0.001828             0.001741             0.00103              0.0                  7.1e-05              0.002172             0.005589             0.000421             
0.042752             1.6e-05              0.00315              0.032409             0.001046             0.000527             0.000486             0.0                  5.4e-05              0.00098              0.003158             0.000518             
0.041156             0.0                  0.002919             0.031185             0.000976             0.000419             0.000491             0.0                  7.8e-05              0.001044             0.003189             0.00048              
0.043812             0.0                  0.003168             0.033247             0.001066             0.000538             0.000568             0.0                  6.5e-05              0.001026             0.003434             0.000491             
0.041652             0.0                  0.003113             0.031463             0.000967             0.000499             0.000417             0.0                  8.9e-05              0.001038             0.003081             0.000484             
0.041794             0.0                  0.002933             0.031748             0.001028             0.000459             0.000446             0.0                  4.5e-05              0.00079              0.003271             0.000517             
0.041046             0.0                  0.003123             0.030909             0.000958             0.0005               0.000394             0.0                  6.2e-05              0.000984             0.003094             0.000494             
0.042555             0.0                  0.002977             0.032325             0.001023             0.000504             0.000528             0.0                  6.5e-05              0.001038             0.003645             0.000507             
0.042955             0.0                  0.003065             0.032645             0.001083             0.000488             0.000535             0.0                  5.2e-05              0.000926             0.003277             0.000507             
0.040413             0.0                  0.002926             0.030466             0.000949             0.000457             0.0004               0.0                  5.6e-05              0.000839             0.002931             0.000501             
0.040913             0.0                  0.002914             0.031                0.000995             0.000453             0.000471             0.0                  5.6e-05              0.000955             0.003612             0.000497             
0.040451             0.0                  0.002466             0.030603             0.00106              0.000512             0.000563             0.0                  6.9e-05              0.001069             0.005683             0.001077             
0.039252             1e-06                0.002289             0.029775             0.001014             0.000474             0.000539             0.0                  7e-05                0.000993             0.00666              0.001044             
0.037231             0.0                  0.002075             0.028306             0.000938             0.000458             0.000347             0.0                  5.3e-05              0.000841             0.005087             0.001019             
0.039794             1e-06                0.002466             0.03005              0.001045             0.000522             0.000464             0.0                  5.9e-05              0.000925             0.004867             0.001227             
0.037774             0.0                  0.002173             0.0286               0.00097              0.000501             0.000328             0.0                  7e-05                0.001156             0.0051               0.001015             
0.041274             1e-06                0.002442             0.031398             0.001117             0.000509             0.000601             0.0                  5.3e-05              0.000891             0.005504             0.001012             
0.039467             0.0                  0.002245             0.029988             0.001109             0.000489             0.00044              0.0                  7.2e-05              0.001121             0.006026             0.001081             
0.042114             0.0                  0.002551             0.032133             0.0012               0.000543             0.000498             0.0                  5.5e-05              0.000999             0.005017             0.001006             
0.0397               0.0                  0.002301             0.030004             0.001035             0.000522             0.000516             0.0                  7.4e-05              0.001079             0.005244             0.001027             
0.040631             0.0                  0.002365             0.030962             0.001108             0.00048              0.000587             0.0                  6.2e-05              0.000971             0.005338             0.000998             
0.057134             1e-06                0.009037             0.039407             0.001233             0.001744             0.001017             0.0                  6.7e-05              0.002116             0.003968             0.000386             
